Rang,id,area_ha,area_km2,mean_suit,max_suit,annual_gwh,winter_gwh,gwh_per_ha,E_lv95,N_lv95
568,452,18.8,0.19,0.747,0.836,50.9,23.6,2.707,2700022,1174522
569,660,12.8,0.13,0.746,0.819,35.1,15.3,2.755,2739791,1162559
570,566,11.9,0.12,0.746,0.843,31.3,13.7,2.623,2730072,1167534
571,546,38.2,0.38,0.746,0.837,106.8,50.6,2.797,2724427,1168580
572,625,13.4,0.13,0.746,0.83,34.3,15.3,2.568,2705710,1164486
573,788,48.5,0.48,0.746,0.828,137.3,66.8,2.832,2791130,1155418
574,380,156.8,1.57,0.746,0.85,441.8,219.6,2.817,2767437,1178205
575,908,20.7,0.21,0.745,0.779,54.3,24.4,2.625,2757670,1143981
576,696,13.0,0.13,0.745,0.851,38.3,20.1,2.948,2784069,1160462
577,569,55.2,0.55,0.745,0.823,148.6,64.9,2.692,2731378,1167182
578,450,55.2,0.55,0.745,0.845,152.7,68.6,2.768,2746836,1174330
579,924,29.1,0.29,0.745,0.823,78.6,33.8,2.698,2732592,1142142
580,292,43.2,0.43,0.745,0.851,108.8,47.7,2.52,2763474,1183924
581,247,51.7,0.52,0.745,0.83,138.3,61.8,2.675,2770714,1185861
582,516,12.7,0.13,0.744,0.848,33.5,15.4,2.642,2777113,1171080
583,1082,126.9,1.27,0.744,0.85,362.1,184.3,2.854,2765174,1178321
584,693,56.1,0.56,0.744,0.852,146.4,62.4,2.611,2782661,1159978
585,1106,135.8,1.36,0.744,0.857,393.8,203.8,2.901,2772475,1163174
586,146,157.6,1.58,0.744,0.832,409.4,184.0,2.598,2745354,1192219
587,48,76.2,0.76,0.744,0.839,220.1,111.4,2.886,2820956,1205490
588,879,30.4,0.3,0.744,0.844,84.3,39.9,2.777,2731051,1147202
589,981,25.7,0.26,0.744,0.854,69.7,30.5,2.714,2733013,1135871
590,402,96.4,0.96,0.743,0.816,271.0,134.8,2.81,2793588,1177302
591,706,50.3,0.5,0.743,0.875,138.4,67.4,2.751,2745206,1159902
592,364,21.0,0.21,0.743,0.87,56.3,26.7,2.683,2712106,1179546
593,942,35.2,0.35,0.743,0.856,93.5,42.7,2.653,2800812,1140097
594,799,10.2,0.1,0.743,0.821,28.7,13.1,2.822,2743487,1155090
595,778,40.3,0.4,0.743,0.828,109.5,50.3,2.716,2790267,1156070
596,145,56.4,0.56,0.743,0.816,144.1,63.1,2.557,2765292,1193096
